,PLAYER_ID,ALL_FGA,ALL_ALL_AVG_DISTANCE,ALL_3PT_AVG_DISTANCE,ALL_2PT_AVG_DISTANCE,MADE_FGA,MADE_ALL_AVG_DISTANCE,MADE_3PT_AVG_DISTANCE,MADE_2PT_AVG_DISTANCE,MISS_FGA,MISS_ALL_AVG_DISTANCE,MISS_3PT_AVG_DISTANCE,MISS_2PT_AVG_DISTANCE,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION
454,1642484,73,17.136986301369863,25.71794871794872,7.294117647058823,22.0,17.227272727272727,26.833333333333332,5.7,51.0,17.098039215686274,25.22222222222222,7.958333333333333,RayJ Dennis,1610612754,IND
462,1642851,570,17.11754385964912,25.228658536585368,6.12396694214876,278.0,15.348920863309353,24.965034965034967,5.162962962962963,292.0,18.801369863013697,25.43243243243243,7.336448598130841,Kon Knueppel,1610612766,CHA
322,1631213,231,17.073593073593074,25.605839416058394,4.638297872340425,93.0,15.010752688172044,25.729166666666668,3.577777777777778,138.0,18.463768115942027,25.53932584269663,5.612244897959184,Tyrese Martin,1610612751,BKN
338,1631321,205,16.995121951219513,24.41860465116279,4.394736842105263,81.0,14.17283950617284,23.88372093023256,3.1842105263157894,124.0,18.838709677419356,24.686046511627907,5.605263157894737,Sidy Cissoko,1610612757,POR
491,1642914,56,16.964285714285715,25.225806451612904,6.72,19.0,15.263157894736842,25.4,4.0,37.0,17.83783783783784,25.142857142857142,8.25,Javon Small,1610612763,MEM
360,1641729,373,16.908847184986595,24.901960784313726,7.260355029585799,170.0,13.758823529411766,24.791044776119403,6.58252427184466,203.0,19.54679802955665,24.956204379562045,8.318181818181818,Brice Sensabaugh,1610612762,UTA
380,1641767,192,16.901041666666668,24.74137931034483,4.934210526315789,73.0,14.534246575342467,24.81081081081081,3.9722222222222223,119.0,18.352941176470587,24.70886075949367,5.8,Ben Sheppard,1610612754,IND
235,1630544,223,16.829596412556054,26.043478260869566,7.018518518518518,83.0,15.216867469879517,26.10810810810811,6.456521739130435,140.0,17.785714285714285,26.012820512820515,7.435483870967742,Tre Mann,1610612766,CHA
64,1626156,232,16.823275862068964,25.366071428571427,8.85,94.0,14.351063829787234,25.696969696969695,8.21311475409836,138.0,18.507246376811594,25.227848101265824,9.508474576271187,D'Angelo Russell,1610612742,DAL
487,1642885,60,16.816666666666666,25.17142857142857,5.12,23.0,15.782608695652174,24.0,5.1,37.0,17.45945945945946,25.863636363636363,5.133333333333334,Mohamed Diawara,1610612752,NYK
291,1631108,346,16.794797687861273,24.204761904761906,5.352941176470588,166.0,15.475903614457831,24.096774193548388,4.493150684931507,180.0,18.011111111111113,24.29059829059829,6.349206349206349,Max Christie,1610612742,DAL
378,1641764,390,16.766666666666666,25.295336787564768,8.411167512690355,183.0,14.765027322404372,25.088607594936708,6.923076923076923,207.0,18.536231884057973,25.43859649122807,10.075268817204302,Brandin Podziemski,1610612744,GSW
366,1641738,69,16.73913043478261,24.72093023255814,3.5384615384615383,25.0,11.08,24.4,2.2,44.0,19.954545454545453,24.818181818181817,5.363636363636363,Kobe Brown,1610612746,LAC
442,1642377,409,16.687041564792175,24.36320754716981,8.426395939086294,165.0,14.50909090909091,24.17142857142857,7.389473684210526,244.0,18.15983606557377,24.45774647887324,9.392156862745098,Jaylen Wells,1610612763,MEM
134,1629008,597,16.616415410385258,24.92105263157895,8.0,291.0,13.74914089347079,24.78048780487805,5.6726190476190474,306.0,19.34313725490196,25.016574585635357,11.128,Michael Porter Jr.,1610612751,BKN
86,1627824,99,16.616161616161616,24.015873015873016,3.6666666666666665,39.0,13.743589743589743,23.75,3.210526315789474,60.0,18.483333333333334,24.13953488372093,4.176470588235294,Guerschon Yabusele,1610612752,NYK
30,203110,268,16.58582089552239,24.695652173913043,4.383177570093458,116.0,13.422413793103448,24.654545454545456,3.2950819672131146,152.0,19.0,24.71698113207547,5.826086956521739,Draymond Green,1610612744,GSW
13,201935,669,16.56801195814649,26.057803468208093,6.402476780185759,283.0,14.088339222614842,26.041666666666668,5.288343558282208,386.0,18.3860103626943,26.06637168141593,7.5375,James Harden,1610612746,LAC
499,1642948,206,16.54854368932039,25.293333333333333,11.541984732824428,95.0,15.673684210526316,25.466666666666665,11.153846153846153,111.0,17.2972972972973,25.177777777777777,11.924242424242424,Ryan Nembhard,1610612742,DAL
448,1642419,72,16.541666666666668,24.925,6.0625,40.0,13.45,24.77777777777778,4.181818181818182,32.0,20.40625,25.045454545454547,10.2,Jamison Battle,1610612761,TOR
175,1629656,390,16.525641025641026,25.162995594713657,4.4969325153374236,171.0,13.32748538011696,25.098765432098766,2.7333333333333334,219.0,19.022831050228312,25.198630136986303,6.671232876712328,Quentin Grimes,1610612755,PHI
257,1630591,257,16.46303501945525,25.42105263157895,6.854838709677419,121.0,12.801652892561984,24.818181818181817,5.935064935064935,136.0,19.720588235294116,25.719101123595507,8.361702127659575,Jalen Suggs,1610612753,ORL
352,1641716,353,16.427762039660056,25.197860962566846,6.548192771084337,129.0,15.852713178294573,25.26865671641791,5.67741935483871,224.0,16.758928571428573,25.158333333333335,7.0673076923076925,Jarace Walker,1610612754,IND
29,203084,366,16.368852459016395,24.12785388127854,4.809523809523809,159.0,13.836477987421384,23.9375,3.607594936708861,207.0,18.314009661835748,24.237410071942445,6.205882352941177,Harrison Barnes,1610612759,SAS
427,1642347,290,16.320689655172412,25.48125,5.046153846153846,104.0,14.711538461538462,25.686274509803923,4.150943396226415,186.0,17.22043010752688,25.38532110091743,5.662337662337662,Jamal Shead,1610612761,TOR
43,203897,446,16.31165919282511,25.454976303317537,8.102127659574467,216.0,13.75,25.107142857142858,6.5227272727272725,230.0,18.717391304347824,25.68503937007874,10.12621359223301,Zach LaVine,1610612758,SAC
32,203468,595,16.29579831932773,25.591760299625467,8.728658536585366,266.0,14.488721804511279,25.494949494949495,7.9640718562874255,329.0,17.756838905775076,25.648809523809526,9.521739130434783,CJ McCollum,1610612764,WAS
502,1642954,198,16.292929292929294,24.470588235294116,3.9746835443037973,99.0,12.717171717171718,24.177777777777777,3.1666666666666665,99.0,19.86868686868687,24.64864864864865,5.72,Will Richard,1610612744,GSW
280,1631095,503,16.25844930417495,24.705645161290324,8.04313725490196,216.0,14.101851851851851,24.681818181818183,6.828125,287.0,17.881533101045296,24.71875,9.26771653543307,Jabari Smith Jr.,1610612745,HOU
108,1628415,616,16.248376623376622,25.50965250965251,9.529411764705882,274.0,14.043795620437956,25.727272727272727,8.516129032258064,342.0,18.014619883040936,25.39766081871345,10.631578947368421,Dillon Brooks,1610612756,PHX
45,203914,61,16.24590163934426,23.77777777777778,5.4,31.0,15.290322580645162,23.444444444444443,4.0,30.0,17.233333333333334,24.11111111111111,6.916666666666667,Gary Harris,1610612749,MIL
162,1629631,424,16.202830188679247,24.8743961352657,7.9308755760368665,183.0,13.442622950819672,24.8125,7.3277310924369745,241.0,18.29875518672199,24.902097902097903,8.66326530612245,De'Andre Hunter,1610612739,CLE
343,1641706,434,16.19815668202765,25.7487922705314,7.488986784140969,181.0,14.176795580110497,25.506666666666668,6.160377358490566,253.0,17.64426877470356,25.886363636363637,8.652892561983471,Brandon Miller,1610612766,CHA
16,201950,204,16.181372549019606,25.17924528301887,6.448979591836735,89.0,13.696629213483146,25.08108108108108,5.596153846153846,115.0,18.104347826086958,25.231884057971016,7.413043478260869,Jrue Holiday,1610612757,POR
348,1641711,236,16.127118644067796,24.6984126984127,6.3090909090909095,98.0,12.193877551020408,23.973684210526315,4.733333333333333,138.0,18.920289855072465,25.011363636363637,8.2,Gradey Dick,1610612761,TOR
144,1629027,135,16.096296296296295,26.372881355932204,8.118421052631579,56.0,12.982142857142858,25.5,7.052631578947368,79.0,18.303797468354432,26.75609756097561,9.18421052631579,Trae Young,1610612737,ATL
93,1628370,343,16.08746355685131,25.67515923566879,7.994623655913978,150.0,15.2,25.661538461538463,7.2,193.0,16.77720207253886,25.684782608695652,8.663366336633663,Malik Monk,1610612758,SAC
96,1628378,809,16.03955500618047,25.645244215938302,7.142857142857143,396.0,13.631313131313131,25.467105263157894,6.258196721311475,413.0,18.34866828087167,25.759493670886076,8.369318181818182,Donovan Mitchell,1610612739,CLE
